,Team_Id,Conference,Team_Name.1
0,1101,Southland,Abilene Chr
1,1102,MWC,Air Force
2,1103,MAC,Akron
3,1104,SEC,Alabama
4,1105,SWAC,Alabama A&M
5,1106,SWAC,Alabama St
6,1107,AM East,Albany NY
7,1108,SWAC,Alcorn St
8,1109,,Alliant Intl
9,1110,Patriot,American Univ
10,1111,Sun Belt,Appalachian St
11,1112,Pac-12,Arizona
12,1113,Pac-12,Arizona St
13,1114,Sun Belt,Ark Little Rock
14,1115,SWAC,Ark Pine Bluff
15,1116,SEC,Arkansas
16,1117,Sun Belt,Arkansas St
17,1118,Big South,Armstrong St
18,1119,Patriot,Army
19,1120,SEC,Auburn
20,1121,,Augusta
21,1122,OVC,Austin Peay
22,1123,MAC,Ball St
23,1124,Big 12,Baylor
24,1125,OVC,Belmont
25,1126,MEAC,Bethune-Cookman
26,1127,AM East,Binghamton
27,1128,,Birmingham So
28,1129,MWC,Boise St
29,1130,ACC,Boston College
30,1131,Patriot,Boston Univ
31,1132,MAC,Bowling Green
32,1133,MVC,Bradley
33,1134,,Brooklyn
34,1135,Ivy,Brown
35,1136,NEC,Bryant
36,1137,Patriot,Bucknell
37,1138,MAC,Buffalo
38,1139,Big East,Butler
39,1140,WCC,BYU
40,1141,Mid-American,C Michigan
41,1142,Big Sky,Cal Poly SLO
42,1143,Pac-12,California
43,1144,Big South,Campbell
44,1145,MAAC,Canisius
45,1146,Southland,Cent Arkansas
46,1147,,Centenary
47,1148,NEC,Central Conn
48,1149,Big South,Charleston So
49,1150,C-USA,Charlotte
50,1151,SoCon,Chattanooga
51,1152,WAC,Chicago St
52,1153,AAC,Cincinnati
53,1154,SoCon,Citadel
54,1155,ACC,Clemson
55,1156,Horizon,Cleveland St
56,1157,Big South,Coastal Car
57,1158,CAA,Col Charleston
58,1159,Patriot,Colgate
59,1160,Pac-12,Colorado
60,1161,MWC,Colorado St
61,1162,Ivy,Columbia
62,1163,AAC,Connecticut
63,1164,MEAC,Coppin St
64,1165,Ivy,Cornell
65,1166,Big East,Creighton
66,1167,WAC,CS Bakersfield
67,1168,Big West,CS Fullerton
68,1169,Big West,CS Northridge
69,1170,Big Sky,CS Sacramento
70,1171,Ivy,Dartmouth
