id,pred
2013_1103_1107,0.26375306388253067
2013_1103_1112,0.5520146111410984
2013_1103_1125,0.6405464717322163
2013_1103_1129,0.4731460917259366
2013_1103_1137,0.35113885290044367
2013_1103_1139,0.39812826340194657
2013_1103_1143,0.36355583721461887
2013_1103_1153,0.35698653713399275
2013_1103_1160,0.3898771317304722
2013_1103_1161,0.5199188744444532
2013_1103_1166,0.5913157075581044
2013_1103_1172,0.529935492200046
2013_1103_1181,0.7041968938922085
2013_1103_1195,0.5075400195518718
2013_1103_1196,0.4896036874847314
2013_1103_1207,0.27778351955624014
2013_1103_1211,0.6487462219000566
2013_1103_1217,0.3881164758902146
2013_1103_1228,0.41959700128596183
2013_1103_1231,0.7556357042279752
2013_1103_1233,0.7725638077486332
2013_1103_1235,0.7463952472534776
2013_1103_1241,0.2945855438271834
2013_1103_1242,0.6117600506676806
2013_1103_1243,0.41596181777383223
2013_1103_1247,0.5164908103948798
2013_1103_1251,0.36394522346240044
2013_1103_1254,0.7198080386927487
2013_1103_1257,0.5694410288924244
2013_1103_1266,0.41226043296395276
2013_1103_1272,0.6207257296782968
2013_1103_1274,0.44545994991925186
2013_1103_1276,0.5755128955872326
2013_1103_1277,0.367336104153079
2013_1103_1278,0.3947839100243885
2013_1103_1279,0.6955243067125895
2013_1103_1281,0.6377135427871977
2013_1103_1285,0.4434519783760922
2013_1103_1292,0.47449725274117144
2013_1103_1299,0.19238857869225195
2013_1103_1301,0.6643647210634818
2013_1103_1307,0.38166535656289746
2013_1103_1308,0.3696721954690929
2013_1103_1314,0.6465633690586223
2013_1103_1322,0.6918323869142459
2013_1103_1323,0.45149036443031537
2013_1103_1326,0.4289140740543623
2013_1103_1328,0.4845555769359389
2013_1103_1329,0.5289055493379056
2013_1103_1332,0.4961754228119582
2013_1103_1334,0.33722566000155574
2013_1103_1338,0.42058474771745
2013_1103_1355,0.5165183019630223
2013_1103_1361,0.3993012500772858
2013_1103_1380,0.3357301703946112
2013_1103_1387,0.4099303077030389
2013_1103_1388,0.5861464920829564
2013_1103_1393,0.497423381283188
2013_1103_1396,0.5401782502808441
2013_1103_1417,0.5958464103787482
2013_1103_1424,0.4896524428262884
2013_1103_1433,0.6821461934660027
2013_1103_1434,0.4670731965660881
2013_1103_1437,0.37863176213979727
2013_1103_1443,0.3478424133601249
2013_1103_1455,0.42903140994426114
2013_1103_1458,0.31799065871168053
2013_1107_1112,0.7882615472585678
2013_1107_1125,0.8767934078496857
2013_1107_1129,0.709393027843406
2013_1107_1137,0.587385789017913
2013_1107_1139,0.6343751995194159
2013_1107_1143,0.5998027733320882
2013_1107_1153,0.593233473251462
2013_1107_1160,0.6261240678479415
2013_1107_1161,0.7561658105619224
2013_1107_1166,0.8275626436755736
2013_1107_1172,0.7661824283175154
2013_1107_1181,0.9404438300096779
2013_1107_1195,0.7437869556693412
2013_1107_1196,0.7258506236022007
2013_1107_1207,0.5140304556737095
2013_1107_1211,0.8849931580175259
2013_1107_1217,0.624363412007684
2013_1107_1228,0.6558439374034312
2013_1107_1231,0.9918826403454446
2013_1107_1233,1.0088107438661025
2013_1107_1235,0.9826421833709469
2013_1107_1241,0.5308324799446527
2013_1107_1242,0.84800698678515
2013_1107_1243,0.6522087538913016
2013_1107_1247,0.752737746512349
2013_1107_1251,0.6001921595798698
2013_1107_1254,0.956054974810218
2013_1107_1257,0.8056879650098938
2013_1107_1266,0.648507369081422
2013_1107_1272,0.8569726657957661
2013_1107_1274,0.6817068860367212
2013_1107_1276,0.811759831704702
2013_1107_1277,0.6035830402705483
2013_1107_1278,0.6310308461418578
2013_1107_1279,0.9317712428300589
2013_1107_1281,0.8739604789046671
2013_1107_1285,0.6796989144935616
2013_1107_1292,0.7107441888586408
2013_1107_1299,0.4286355148097213
2013_1107_1301,0.9006116571809512
2013_1107_1307,0.6179122926803668
2013_1107_1308,0.6059191315865623
2013_1107_1314,0.8828103051760917
2013_1107_1322,0.9280793230317153
2013_1107_1323,0.6877373005477847
2013_1107_1326,0.6651610101718317
2013_1107_1328,0.7208025130534083
2013_1107_1329,0.7651524854553748
2013_1107_1332,0.7324223589294275
2013_1107_1334,0.5734725961190251
2013_1107_1338,0.6568316838349194
2013_1107_1355,0.7527652380804916
2013_1107_1361,0.6355481861947552
2013_1107_1380,0.5719771065120806
2013_1107_1387,0.6461772438205082
2013_1107_1388,0.8223934282004258
2013_1107_1393,0.7336703174006574
2013_1107_1396,0.7764251863983134
2013_1107_1417,0.8320933464962175
2013_1107_1424,0.7258993789437578
2013_1107_1433,0.918393129583472
2013_1107_1434,0.7033201326835574
2013_1107_1437,0.6148786982572666
2013_1107_1443,0.5840893494775942
2013_1107_1455,0.6652783460617305
2013_1107_1458,0.5542375948291499
2013_1112_1125,0.588531860591118
2013_1112_1129,0.4211314805848381
2013_1112_1137,0.29912424175934527
2013_1112_1139,0.3461136522608481
2013_1112_1143,0.3115412260735204
2013_1112_1153,0.30497192599289424
2013_1112_1160,0.3378625205893737
2013_1112_1161,0.46790426330335466
2013_1112_1166,0.5393010964170059
2013_1112_1172,0.4779208810589475
2013_1112_1181,0.6521822827511101
2013_1112_1195,0.4555254084107733
2013_1112_1196,0.4375890763436329
2013_1112_1207,0.22576890841514174
2013_1112_1211,0.5967316107589581
2013_1112_1217,0.33610186474911613
2013_1112_1228,0.3675823901448634
2013_1112_1231,0.7036210930868767
2013_1112_1233,0.7205491966075348
2013_1112_1235,0.6943806361123791
2013_1112_1241,0.24257093268608493
2013_1112_1242,0.5597454395265822
2013_1112_1243,0.36394720663273383
2013_1112_1247,0.4644761992537813
2013_1112_1251,0.3119306123213019
2013_1112_1254,0.6677934275516502
2013_1112_1257,0.517426417751326
2013_1112_1266,0.3602458218228543
2013_1112_1272,0.5687111185371982
2013_1112_1274,0.3934453387781534
2013_1112_1276,0.5234982844461342
2013_1112_1277,0.31532149301198054
2013_1112_1278,0.34276929888329
2013_1112_1279,0.643509695571491
2013_1112_1281,0.5856989316460992
2013_1112_1285,0.3914373672349937
2013_1112_1292,0.422482641600073
2013_1112_1299,0.14037396755115356
2013_1112_1301,0.6123501099223834
2013_1112_1307,0.32965074542179906
2013_1112_1308,0.31765758432799446
2013_1112_1314,0.5945487579175239
2013_1112_1322,0.6398177757731474
2013_1112_1323,0.3994757532892169
2013_1112_1326,0.3768994629132639
2013_1112_1328,0.43254096579484047
